Task,Start,Finish,Resource
 26,2023-08-14 14:45:37,2023-08-14 14:47:37,EWEB-0050
 26,2023-08-14 15:09:37,2023-08-14 15:13:22,EWEB-0050
 26,2023-08-14 19:52:44,2023-08-14 19:56:24,EWEB-0050
 26,2023-08-14 20:19:31,2023-08-14 20:23:13,EWEB-0050
 26,2023-08-14 20:44:33,2023-08-14 20:47:44,EWEB-0050
 26,2023-08-14 22:10:36,2023-08-14 22:14:02,EWEB-0050
 26,2023-08-14 22:52:01,2023-08-14 22:52:53,EWEB-0050
 26,2023-08-15 00:46:30,2023-08-15 00:48:57,EWEB-0050
 26,2023-08-15 02:13:30,2023-08-15 02:15:00,EWEB-0050
 26,2023-08-15 02:49:10,2023-08-15 02:52:54,EWEB-0050
 26,2023-08-15 03:15:51,2023-08-15 03:16:10,EWEB-0050
 26,2023-08-15 06:01:15,2023-08-15 06:02:07,EWEB-0050
 26,2023-08-15 07:43:00,2023-08-15 07:46:40,EWEB-0050
 26,2023-08-15 08:27:42,2023-08-15 08:30:59,EWEB-0050
 26,2023-08-15 08:52:25,2023-08-15 08:56:02,EWEB-0050
 26,2023-08-15 10:13:55,2023-08-15 10:16:57,EWEB-0050
 26,2023-08-15 11:10:07,2023-08-15 11:12:48,EWEB-0050
 26,2023-08-14 13:03:49,2023-08-14 13:05:44,EWEB-0455
 26,2023-08-14 14:28:21,2023-08-14 14:30:13,EWEB-0455
 26,2023-08-14 14:54:18,2023-08-14 14:56:39,EWEB-0455
 26,2023-08-14 16:19:55,2023-08-14 16:22:13,EWEB-0455
 26,2023-08-14 21:33:58,2023-08-14 21:36:28,EWEB-0455
 26,2023-08-15 02:32:05,2023-08-15 02:34:44,EWEB-0455
 26,2023-08-15 03:00:56,2023-08-15 03:02:45,EWEB-0455
 26,2023-08-15 05:39:43,2023-08-15 05:42:06,EWEB-0455
 26,2023-08-15 07:40:55,2023-08-15 07:43:34,EWEB-0455
 26,2023-08-15 08:36:16,2023-08-15 08:38:13,EWEB-0455
 26,2023-08-15 09:12:05,2023-08-15 09:14:39,EWEB-0455
 26,2023-08-15 11:31:00,2023-08-15 11:33:07,EWEB-0455
 26,2023-08-14 15:37:07,2023-08-14 15:38:26,LV R/B
 26,2023-08-14 16:00:53,2023-08-14 16:04:33,LV R/B
 26,2023-08-14 20:45:51,2023-08-14 20:49:31,LV R/B
 26,2023-08-14 21:13:10,2023-08-14 21:16:32,LV R/B
 26,2023-08-14 21:38:35,2023-08-14 21:41:19,LV R/B
 26,2023-08-14 23:05:18,2023-08-14 23:08:02,LV R/B
 26,2023-08-14 23:45:41,2023-08-14 23:48:03,LV R/B
 26,2023-08-15 01:41:23,2023-08-15 01:44:15,LV R/B
 26,2023-08-15 03:08:33,2023-08-15 03:11:18,LV R/B
 26,2023-08-15 03:45:24,2023-08-15 03:49:02,LV R/B
 26,2023-08-15 08:41:13,2023-08-15 08:44:51,LV R/B
 26,2023-08-15 09:26:28,2023-08-15 09:28:45,LV R/B
 26,2023-08-15 09:51:05,2023-08-15 09:54:20,LV R/B
 26,2023-08-15 11:14:03,2023-08-15 11:14:42,LV R/B
 26,2023-08-14 12:20:44,2023-08-14 12:22:53,EWEB-0533
 26,2023-08-14 20:27:18,2023-08-14 20:29:25,EWEB-0533
 26,2023-08-15 00:19:37,2023-08-15 00:20:17,EWEB-0533
 26,2023-08-15 01:53:53,2023-08-15 01:54:53,EWEB-0533
 26,2023-08-15 02:21:38,2023-08-15 02:24:04,EWEB-0533
 26,2023-08-15 02:48:03,2023-08-15 02:50:16,EWEB-0533
 26,2023-08-15 04:19:28,2023-08-15 04:21:27,EWEB-0533
 26,2023-08-15 07:04:28,2023-08-15 07:05:22,EWEB-0533
 26,2023-08-15 08:35:40,2023-08-15 08:37:30,EWEB-0533
 26,2023-08-15 09:14:38,2023-08-15 09:16:51,EWEB-0533
 26,2023-08-14 12:00:21,2023-08-14 12:03:16,EWEB-0543
 26,2023-08-14 15:27:06,2023-08-14 15:28:26,EWEB-0543
 26,2023-08-14 17:46:23,2023-08-14 17:49:26,EWEB-0543
 26,2023-08-14 19:05:13,2023-08-14 19:08:15,EWEB-0543
 26,2023-08-14 19:50:01,2023-08-14 19:53:22,EWEB-0543
