Task,Start,Finish,Resource
 71,2023-08-14 12:25:12,2023-08-14 12:29:05,EWEB-0050
 71,2023-08-14 14:04:49,2023-08-14 14:08:25,EWEB-0050
 71,2023-08-14 15:08:49,2023-08-14 15:14:18,EWEB-0050
 71,2023-08-14 16:43:55,2023-08-14 16:49:31,EWEB-0050
 71,2023-08-14 17:17:46,2023-08-14 17:19:50,EWEB-0050
 71,2023-08-14 18:22:09,2023-08-14 18:24:18,EWEB-0050
 71,2023-08-14 18:25:12,2023-08-14 18:26:26,EWEB-0050
 71,2023-08-14 20:19:08,2023-08-14 20:25:53,EWEB-0050
 71,2023-08-14 20:44:39,2023-08-14 20:47:43,EWEB-0050
 71,2023-08-14 21:57:15,2023-08-14 22:01:02,EWEB-0050
 71,2023-08-14 22:52:01,2023-08-14 22:52:55,EWEB-0050
 71,2023-08-15 00:45:04,2023-08-15 00:48:59,EWEB-0050
 71,2023-08-15 02:13:28,2023-08-15 02:15:00,EWEB-0050
 71,2023-08-15 02:18:12,2023-08-15 02:21:17,EWEB-0050
 71,2023-08-15 02:48:14,2023-08-15 02:53:45,EWEB-0050
 71,2023-08-15 03:52:19,2023-08-15 03:54:39,EWEB-0050
 71,2023-08-15 03:54:43,2023-08-15 03:56:37,EWEB-0050
 71,2023-08-15 04:25:21,2023-08-15 04:31:03,EWEB-0050
 71,2023-08-15 05:31:43,2023-08-15 05:34:04,EWEB-0050
 71,2023-08-15 06:00:31,2023-08-15 06:02:11,EWEB-0050
 71,2023-08-15 06:02:38,2023-08-15 06:05:08,EWEB-0050
 71,2023-08-15 08:27:43,2023-08-15 08:30:53,EWEB-0050
 71,2023-08-15 08:49:20,2023-08-15 08:56:25,EWEB-0050
 71,2023-08-15 10:27:01,2023-08-15 10:30:32,EWEB-0050
 71,2023-08-15 11:10:06,2023-08-15 11:12:47,EWEB-0050
 71,2023-08-14 13:04:07,2023-08-14 13:05:13,EWEB-0455
 71,2023-08-14 14:28:13,2023-08-14 14:30:17,EWEB-0455
 71,2023-08-14 14:54:44,2023-08-14 14:56:59,EWEB-0455
 71,2023-08-14 16:32:56,2023-08-14 16:36:25,EWEB-0455
 71,2023-08-14 18:40:44,2023-08-14 18:43:24,EWEB-0455
 71,2023-08-14 20:25:46,2023-08-14 20:28:27,EWEB-0455
 71,2023-08-14 21:33:01,2023-08-14 21:37:31,EWEB-0455
 71,2023-08-14 23:15:47,2023-08-14 23:17:43,EWEB-0455
 71,2023-08-15 03:00:21,2023-08-15 03:06:21,EWEB-0455
 71,2023-08-15 04:44:24,2023-08-15 04:45:11,EWEB-0455
 71,2023-08-15 05:39:43,2023-08-15 05:42:07,EWEB-0455
 71,2023-08-15 06:46:24,2023-08-15 06:48:38,EWEB-0455
 71,2023-08-15 07:40:20,2023-08-15 07:43:35,EWEB-0455
 71,2023-08-15 09:12:04,2023-08-15 09:14:38,EWEB-0455
 71,2023-08-15 09:50:40,2023-08-15 09:53:11,EWEB-0455
 71,2023-08-15 10:56:59,2023-08-15 11:01:20,EWEB-0455
 71,2023-08-15 11:30:41,2023-08-15 11:34:19,EWEB-0455
 71,2023-08-15 11:34:26,2023-08-15 11:36:43,EWEB-0455
 71,2023-08-14 13:15:42,2023-08-14 13:19:21,LV R/B
 71,2023-08-14 14:56:01,2023-08-14 14:59:18,LV R/B
 71,2023-08-14 16:00:09,2023-08-14 16:05:27,LV R/B
 71,2023-08-14 16:36:17,2023-08-14 16:37:39,LV R/B
 71,2023-08-14 17:36:27,2023-08-14 17:41:23,LV R/B
