Task,Start,Finish,Resource
 26,2023-08-14 12:00:02,2023-08-14 12:04:03,DOVE 2 0505
 26,2023-08-14 12:27:18,2023-08-14 12:30:59,DOVE 2 0505
 26,2023-08-14 16:24:27,2023-08-14 16:27:36,DOVE 2 0505
 26,2023-08-14 17:23:58,2023-08-14 17:27:09,DOVE 2 0505
 26,2023-08-14 17:36:19,2023-08-14 17:37:48,DOVE 2 0505
 26,2023-08-14 17:56:27,2023-08-14 18:00:26,DOVE 2 0505
 26,2023-08-14 18:25:56,2023-08-14 18:28:38,DOVE 2 0505
 26,2023-08-14 20:03:34,2023-08-14 20:06:30,DOVE 2 0505
 26,2023-08-14 21:14:27,2023-08-14 21:17:27,DOVE 2 0505
 26,2023-08-14 21:59:18,2023-08-14 22:01:45,DOVE 2 0505
 26,2023-08-15 01:00:30,2023-08-15 01:02:49,DOVE 2 0505
 26,2023-08-15 01:36:09,2023-08-15 01:39:52,DOVE 2 0505
 26,2023-08-15 01:54:14,2023-08-15 01:58:13,DOVE 2 0505
 26,2023-08-15 02:37:53,2023-08-15 02:41:09,DOVE 2 0505
 26,2023-08-15 03:14:14,2023-08-15 03:17:36,DOVE 2 0505
 26,2023-08-15 04:53:03,2023-08-15 04:55:34,DOVE 2 0505
 26,2023-08-15 05:16:24,2023-08-15 05:19:03,DOVE 2 0505
 26,2023-08-15 06:15:02,2023-08-15 06:17:05,DOVE 2 0505
 26,2023-08-15 06:30:43,2023-08-15 06:34:28,DOVE 2 0505
 26,2023-08-15 08:08:50,2023-08-15 08:11:43,DOVE 2 0505
 26,2023-08-15 09:26:42,2023-08-15 09:30:33,DOVE 2 0505
 26,2023-08-15 10:54:12,2023-08-15 10:58:03,DOVE 2 0505
 26,2023-08-15 11:35:00,2023-08-15 11:36:57,DOVE 2 0505
 26,2023-08-15 11:45:39,2023-08-15 11:49:40,DOVE 2 0505
 26,2023-08-14 12:21:52,2023-08-14 12:25:04,DOVE 3 0711
 26,2023-08-14 15:29:22,2023-08-14 15:32:16,DOVE 3 0711
 26,2023-08-14 16:04:34,2023-08-14 16:07:28,DOVE 3 0711
 26,2023-08-14 18:10:11,2023-08-14 18:13:36,DOVE 3 0711
 26,2023-08-14 21:47:05,2023-08-14 21:49:59,DOVE 3 0711
 26,2023-08-15 02:20:38,2023-08-15 02:21:20,DOVE 3 0711
 26,2023-08-15 03:12:36,2023-08-15 03:14:31,DOVE 3 0711
 26,2023-08-15 03:47:59,2023-08-15 03:51:09,DOVE 3 0711
 26,2023-08-15 04:25:10,2023-08-15 04:28:39,DOVE 3 0711
 26,2023-08-15 07:11:21,2023-08-15 07:14:34,DOVE 3 0711
 26,2023-08-15 07:40:16,2023-08-15 07:42:37,DOVE 3 0711
 26,2023-08-15 08:58:48,2023-08-15 09:01:58,DOVE 3 0711
 26,2023-08-15 09:25:23,2023-08-15 09:28:38,DOVE 3 0711
 26,2023-08-15 10:12:09,2023-08-15 10:13:16,DOVE 3 0711
 26,2023-08-14 12:28:41,2023-08-14 12:31:50,FLOCK 1C 1 0903
 26,2023-08-14 15:24:55,2023-08-14 15:28:38,FLOCK 1C 1 0903
 26,2023-08-14 16:21:27,2023-08-14 16:24:35,FLOCK 1C 1 0903
 26,2023-08-14 19:13:38,2023-08-14 19:17:14,FLOCK 1C 1 0903
 26,2023-08-14 19:58:28,2023-08-14 20:00:58,FLOCK 1C 1 0903
 26,2023-08-14 20:22:34,2023-08-14 20:26:07,FLOCK 1C 1 0903
 26,2023-08-14 22:01:05,2023-08-14 22:03:45,FLOCK 1C 1 0903
 26,2023-08-15 00:04:41,2023-08-15 00:08:24,FLOCK 1C 1 0903
 26,2023-08-15 01:05:23,2023-08-15 01:08:51,FLOCK 1C 1 0903
 26,2023-08-15 01:57:05,2023-08-15 01:59:34,FLOCK 1C 1 0903
 26,2023-08-15 03:07:30,2023-08-15 03:11:03,FLOCK 1C 1 0903
 26,2023-08-15 03:22:57,2023-08-15 03:26:27,FLOCK 1C 1 0903
 26,2023-08-15 05:38:34,2023-08-15 05:41:54,FLOCK 1C 1 0903
 26,2023-08-15 05:58:09,2023-08-15 06:01:30,FLOCK 1C 1 0903
 26,2023-08-15 06:50:10,2023-08-15 06:53:37,FLOCK 1C 1 0903
 26,2023-08-15 09:37:08,2023-08-15 09:39:11,FLOCK 1C 1 0903
 26,2023-08-15 11:11:45,2023-08-15 11:14:44,FLOCK 1C 1 0903
