Task,Start,Finish,Resource
 26,2023-06-17 13:11:28,2023-06-17 13:13:29,DOVE 2 0505
 26,2023-06-17 13:28:58,2023-06-17 13:32:31,DOVE 2 0505
 26,2023-06-17 14:03:36,2023-06-17 14:07:30,DOVE 2 0505
 26,2023-06-17 16:32:36,2023-06-17 16:36:22,DOVE 2 0505
 26,2023-06-17 17:49:52,2023-06-17 17:53:27,DOVE 2 0505
 26,2023-06-17 18:25:51,2023-06-17 18:29:47,DOVE 2 0505
 26,2023-06-17 18:44:27,2023-06-17 18:47:36,DOVE 2 0505
 26,2023-06-17 19:04:14,2023-06-17 19:08:01,DOVE 2 0505
 26,2023-06-17 20:04:35,2023-06-17 20:07:27,DOVE 2 0505
 26,2023-06-17 21:43:08,2023-06-17 21:45:55,DOVE 2 0505
 26,2023-06-17 23:04:02,2023-06-17 23:07:57,DOVE 2 0505
 26,2023-06-17 23:20:47,2023-06-17 23:24:43,DOVE 2 0505
 26,2023-06-17 23:32:03,2023-06-17 23:35:22,DOVE 2 0505
 26,2023-06-18 02:17:01,2023-06-18 02:20:40,DOVE 2 0505
 26,2023-06-18 04:24:16,2023-06-18 04:28:15,DOVE 2 0505
 26,2023-06-18 04:36:51,2023-06-18 04:39:18,DOVE 2 0505
 26,2023-06-18 05:03:19,2023-06-18 05:06:50,DOVE 2 0505
 26,2023-06-18 07:23:10,2023-06-18 07:25:41,DOVE 2 0505
 26,2023-06-18 08:33:48,2023-06-18 08:37:06,DOVE 2 0505
 26,2023-06-18 10:33:05,2023-06-18 10:36:09,DOVE 2 0505
 26,2023-06-18 11:01:32,2023-06-18 11:05:27,DOVE 2 0505
 26,2023-06-17 12:42:18,2023-06-17 12:44:49,DOVE 3 0711
 26,2023-06-17 15:49:16,2023-06-17 15:52:23,DOVE 3 0711
 26,2023-06-17 16:23:30,2023-06-17 16:27:01,DOVE 3 0711
 26,2023-06-17 18:28:58,2023-06-17 18:31:53,DOVE 3 0711
 26,2023-06-17 20:54:37,2023-06-17 20:57:14,DOVE 3 0711
 26,2023-06-17 22:06:50,2023-06-17 22:09:18,DOVE 3 0711
 26,2023-06-18 00:41:20,2023-06-18 00:43:58,DOVE 3 0711
 26,2023-06-18 04:06:59,2023-06-18 04:09:55,DOVE 3 0711
 26,2023-06-18 04:45:25,2023-06-18 04:48:23,DOVE 3 0711
 26,2023-06-18 07:30:35,2023-06-18 07:33:08,DOVE 3 0711
 26,2023-06-18 09:18:26,2023-06-18 09:20:33,DOVE 3 0711
 26,2023-06-17 12:30:08,2023-06-17 12:33:40,FLOCK 1C 1 0903
 26,2023-06-17 13:41:23,2023-06-17 13:44:18,FLOCK 1C 1 0903
 26,2023-06-17 15:26:44,2023-06-17 15:30:17,FLOCK 1C 1 0903
 26,2023-06-17 16:23:03,2023-06-17 16:26:43,FLOCK 1C 1 0903
 26,2023-06-17 19:15:56,2023-06-17 19:18:45,FLOCK 1C 1 0903
 26,2023-06-17 20:00:03,2023-06-17 20:03:24,FLOCK 1C 1 0903
 26,2023-06-17 20:24:57,2023-06-17 20:27:38,FLOCK 1C 1 0903
 26,2023-06-17 22:02:38,2023-06-17 22:06:04,FLOCK 1C 1 0903
 26,2023-06-18 00:07:05,2023-06-18 00:10:10,FLOCK 1C 1 0903
 26,2023-06-18 01:07:18,2023-06-18 01:11:02,FLOCK 1C 1 0903
 26,2023-06-18 03:09:54,2023-06-18 03:13:00,FLOCK 1C 1 0903
 26,2023-06-18 03:25:04,2023-06-18 03:28:46,FLOCK 1C 1 0903
 26,2023-06-18 05:41:25,2023-06-18 05:43:27,FLOCK 1C 1 0903
 26,2023-06-18 06:00:10,2023-06-18 06:03:54,FLOCK 1C 1 0903
 26,2023-06-18 06:52:24,2023-06-18 06:56:06,FLOCK 1C 1 0903
 26,2023-06-18 11:13:58,2023-06-18 11:17:33,FLOCK 1C 1 0903
