Task,Start,Finish,Resource
 111,2023-06-17 12:54:39,2023-06-17 12:56:09,DOVE 2 0505
 111,2023-06-17 13:11:13,2023-06-17 13:13:41,DOVE 2 0505
 111,2023-06-17 13:13:42,2023-06-17 13:17:24,DOVE 2 0505
 111,2023-06-17 13:28:49,2023-06-17 13:33:02,DOVE 2 0505
 111,2023-06-17 14:03:35,2023-06-17 14:07:36,DOVE 2 0505
 111,2023-06-17 16:32:36,2023-06-17 16:36:22,DOVE 2 0505
 111,2023-06-17 16:45:06,2023-06-17 16:48:53,DOVE 2 0505
 111,2023-06-17 17:08:33,2023-06-17 17:11:47,DOVE 2 0505
 111,2023-06-17 17:49:42,2023-06-17 17:53:48,DOVE 2 0505
 111,2023-06-17 17:59:57,2023-06-17 18:03:25,DOVE 2 0505
 111,2023-06-17 18:15:13,2023-06-17 18:19:07,DOVE 2 0505
 111,2023-06-17 18:19:24,2023-06-17 18:29:53,DOVE 2 0505
 111,2023-06-17 18:30:05,2023-06-17 18:31:08,DOVE 2 0505
 111,2023-06-17 18:44:27,2023-06-17 18:48:51,DOVE 2 0505
 111,2023-06-17 19:02:38,2023-06-17 19:08:01,DOVE 2 0505
 111,2023-06-17 19:08:57,2023-06-17 19:12:53,DOVE 2 0505
 111,2023-06-17 19:33:11,2023-06-17 19:36:54,DOVE 2 0505
 111,2023-06-17 19:55:14,2023-06-17 19:57:19,DOVE 2 0505
 111,2023-06-17 20:00:08,2023-06-17 20:09:10,DOVE 2 0505
 111,2023-06-17 20:41:22,2023-06-17 20:43:16,DOVE 2 0505
 111,2023-06-17 21:19:53,2023-06-17 21:21:52,DOVE 2 0505
 111,2023-06-17 21:37:40,2023-06-17 21:46:02,DOVE 2 0505
 111,2023-06-17 21:58:23,2023-06-17 22:04:53,DOVE 2 0505
 111,2023-06-17 23:03:49,2023-06-17 23:10:41,DOVE 2 0505
 111,2023-06-17 23:12:26,2023-06-17 23:24:43,DOVE 2 0505
 111,2023-06-17 23:32:03,2023-06-17 23:36:28,DOVE 2 0505
 111,2023-06-18 00:37:02,2023-06-18 00:45:35,DOVE 2 0505
 111,2023-06-18 00:49:58,2023-06-18 01:07:34,DOVE 2 0505
 111,2023-06-18 01:22:14,2023-06-18 01:24:53,DOVE 2 0505
 111,2023-06-18 02:15:29,2023-06-18 02:21:07,DOVE 2 0505
 111,2023-06-18 02:27:56,2023-06-18 02:34:23,DOVE 2 0505
 111,2023-06-18 02:34:58,2023-06-18 02:42:05,DOVE 2 0505
 111,2023-06-18 02:57:26,2023-06-18 03:01:24,DOVE 2 0505
 111,2023-06-18 03:24:34,2023-06-18 03:27:51,DOVE 2 0505
 111,2023-06-18 04:06:01,2023-06-18 04:09:12,DOVE 2 0505
 111,2023-06-18 04:13:51,2023-06-18 04:21:12,DOVE 2 0505
 111,2023-06-18 04:24:16,2023-06-18 04:28:15,DOVE 2 0505
 111,2023-06-18 04:36:51,2023-06-18 04:39:24,DOVE 2 0505
 111,2023-06-18 05:01:32,2023-06-18 05:08:59,DOVE 2 0505
 111,2023-06-18 05:32:14,2023-06-18 05:38:01,DOVE 2 0505
 111,2023-06-18 07:10:08,2023-06-18 07:15:44,DOVE 2 0505
 111,2023-06-18 07:22:07,2023-06-18 07:27:14,DOVE 2 0505
 111,2023-06-18 07:42:04,2023-06-18 07:46:08,DOVE 2 0505
 111,2023-06-18 08:32:34,2023-06-18 08:37:34,DOVE 2 0505
 111,2023-06-18 08:48:19,2023-06-18 08:52:37,DOVE 2 0505
 111,2023-06-18 08:56:35,2023-06-18 09:04:13,DOVE 2 0505
 111,2023-06-18 09:08:04,2023-06-18 09:12:04,DOVE 2 0505
 111,2023-06-18 09:19:38,2023-06-18 09:23:38,DOVE 2 0505
 111,2023-06-18 09:35:19,2023-06-18 09:36:21,DOVE 2 0505
 111,2023-06-18 10:26:14,2023-06-18 10:30:01,DOVE 2 0505
 111,2023-06-18 10:32:14,2023-06-18 10:39:59,DOVE 2 0505
 111,2023-06-18 11:01:32,2023-06-18 11:06:11,DOVE 2 0505
 111,2023-06-18 11:27:08,2023-06-18 11:31:10,DOVE 2 0505
 111,2023-06-18 11:38:13,2023-06-18 11:43:26,DOVE 2 0505
 111,2023-06-17 12:01:04,2023-06-17 12:02:32,DOVE 3 0711
 111,2023-06-17 12:40:23,2023-06-17 12:46:33,DOVE 3 0711
 111,2023-06-17 13:01:10,2023-06-17 13:04:26,DOVE 3 0711
 111,2023-06-17 13:39:04,2023-06-17 13:41:44,DOVE 3 0711
 111,2023-06-17 14:01:13,2023-06-17 14:04:33,DOVE 3 0711
 111,2023-06-17 14:52:56,2023-06-17 14:53:23,DOVE 3 0711
 111,2023-06-17 15:10:54,2023-06-17 15:15:29,DOVE 3 0711
 111,2023-06-17 15:43:43,2023-06-17 15:45:33,DOVE 3 0711
 111,2023-06-17 15:49:16,2023-06-17 15:52:24,DOVE 3 0711
 111,2023-06-17 16:23:04,2023-06-17 16:27:01,DOVE 3 0711
 111,2023-06-17 16:46:32,2023-06-17 16:49:14,DOVE 3 0711
 111,2023-06-17 16:49:21,2023-06-17 16:54:35,DOVE 3 0711
 111,2023-06-17 17:23:10,2023-06-17 17:24:34,DOVE 3 0711
 111,2023-06-17 17:24:38,2023-06-17 17:29:05,DOVE 3 0711
 111,2023-06-17 18:25:34,2023-06-17 18:32:47,DOVE 3 0711
 111,2023-06-17 18:35:23,2023-06-17 18:38:29,DOVE 3 0711
 111,2023-06-17 19:00:24,2023-06-17 19:01:47,DOVE 3 0711
 111,2023-06-17 19:13:02,2023-06-17 19:13:25,DOVE 3 0711
 111,2023-06-17 19:28:18,2023-06-17 19:30:04,DOVE 3 0711
 111,2023-06-17 20:11:59,2023-06-17 20:15:06,DOVE 3 0711
 111,2023-06-17 20:51:46,2023-06-17 20:57:24,DOVE 3 0711
 111,2023-06-17 21:04:35,2023-06-17 21:08:05,DOVE 3 0711
 111,2023-06-17 22:03:12,2023-06-17 22:06:06,DOVE 3 0711
 111,2023-06-17 22:06:37,2023-06-17 22:09:18,DOVE 3 0711
 111,2023-06-17 22:11:51,2023-06-17 22:12:46,DOVE 3 0711
 111,2023-06-17 23:39:16,2023-06-17 23:43:47,DOVE 3 0711
 111,2023-06-17 23:44:23,2023-06-17 23:50:09,DOVE 3 0711
 111,2023-06-17 23:50:53,2023-06-17 23:52:52,DOVE 3 0711
 111,2023-06-17 23:54:07,2023-06-17 23:56:43,DOVE 3 0711
 111,2023-06-18 00:37:10,2023-06-18 00:39:53,DOVE 3 0711
 111,2023-06-18 00:41:20,2023-06-18 00:46:14,DOVE 3 0711
 111,2023-06-18 00:59:42,2023-06-18 01:02:59,DOVE 3 0711
 111,2023-06-18 01:16:40,2023-06-18 01:24:45,DOVE 3 0711
 111,2023-06-18 01:46:15,2023-06-18 01:49:29,DOVE 3 0711
 111,2023-06-18 01:55:58,2023-06-18 01:58:02,DOVE 3 0711
 111,2023-06-18 02:19:35,2023-06-18 02:21:46,DOVE 3 0711
 111,2023-06-18 02:35:21,2023-06-18 02:37:13,DOVE 3 0711
 111,2023-06-18 02:54:05,2023-06-18 02:56:27,DOVE 3 0711
 111,2023-06-18 03:00:24,2023-06-18 03:03:05,DOVE 3 0711
 111,2023-06-18 04:06:58,2023-06-18 04:09:55,DOVE 3 0711
 111,2023-06-18 04:31:08,2023-06-18 04:33:31,DOVE 3 0711
 111,2023-06-18 04:44:22,2023-06-18 04:48:43,DOVE 3 0711
 111,2023-06-18 05:47:50,2023-06-18 05:54:30,DOVE 3 0711
 111,2023-06-18 06:06:23,2023-06-18 06:07:54,DOVE 3 0711
 111,2023-06-18 06:08:01,2023-06-18 06:10:57,DOVE 3 0711
 111,2023-06-18 06:21:24,2023-06-18 06:28:43,DOVE 3 0711
 111,2023-06-18 07:17:44,2023-06-18 07:21:12,DOVE 3 0711
 111,2023-06-18 07:30:35,2023-06-18 07:33:08,DOVE 3 0711
 111,2023-06-18 07:43:00,2023-06-18 07:48:22,DOVE 3 0711
 111,2023-06-18 08:00:10,2023-06-18 08:01:28,DOVE 3 0711
 111,2023-06-18 08:55:05,2023-06-18 08:58:15,DOVE 3 0711
 111,2023-06-18 09:12:12,2023-06-18 09:21:45,DOVE 3 0711
 111,2023-06-18 09:22:04,2023-06-18 09:24:58,DOVE 3 0711
 111,2023-06-18 09:32:12,2023-06-18 09:37:10,DOVE 3 0711
 111,2023-06-18 10:50:40,2023-06-18 10:53:47,DOVE 3 0711
 111,2023-06-18 10:54:18,2023-06-18 10:57:32,DOVE 3 0711
 111,2023-06-18 10:58:07,2023-06-18 11:01:34,DOVE 3 0711
 111,2023-06-17 12:25:39,2023-06-17 12:28:50,FLOCK 1C 1 0903
 111,2023-06-17 12:30:08,2023-06-17 12:38:14,FLOCK 1C 1 0903
 111,2023-06-17 12:43:35,2023-06-17 12:47:02,FLOCK 1C 1 0903
 111,2023-06-17 13:41:12,2023-06-17 13:45:43,FLOCK 1C 1 0903
 111,2023-06-17 14:01:52,2023-06-17 14:12:43,FLOCK 1C 1 0903
 111,2023-06-17 14:19:02,2023-06-17 14:24:16,FLOCK 1C 1 0903
 111,2023-06-17 14:50:43,2023-06-17 14:54:15,FLOCK 1C 1 0903
 111,2023-06-17 15:07:41,2023-06-17 15:09:31,FLOCK 1C 1 0903
 111,2023-06-17 15:26:44,2023-06-17 15:30:17,FLOCK 1C 1 0903
 111,2023-06-17 15:33:24,2023-06-17 15:37:04,FLOCK 1C 1 0903
 111,2023-06-17 15:37:33,2023-06-17 15:38:47,FLOCK 1C 1 0903
 111,2023-06-17 15:43:03,2023-06-17 15:46:43,FLOCK 1C 1 0903
 111,2023-06-17 16:21:04,2023-06-17 16:27:33,FLOCK 1C 1 0903
 111,2023-06-17 16:42:07,2023-06-17 16:45:47,FLOCK 1C 1 0903
 111,2023-06-17 17:19:13,2023-06-17 17:22:55,FLOCK 1C 1 0903
 111,2023-06-17 17:40:45,2023-06-17 17:43:57,FLOCK 1C 1 0903
 111,2023-06-17 18:17:56,2023-06-17 18:19:25,FLOCK 1C 1 0903
 111,2023-06-17 18:31:39,2023-06-17 18:34:50,FLOCK 1C 1 0903
 111,2023-06-17 18:50:47,2023-06-17 18:54:17,FLOCK 1C 1 0903
 111,2023-06-17 19:15:56,2023-06-17 19:19:33,FLOCK 1C 1 0903
 111,2023-06-17 19:20:11,2023-06-17 19:23:40,FLOCK 1C 1 0903
 111,2023-06-17 19:59:22,2023-06-17 20:03:24,FLOCK 1C 1 0903
 111,2023-06-17 20:16:10,2023-06-17 20:19:53,FLOCK 1C 1 0903
 111,2023-06-17 20:24:57,2023-06-17 20:30:30,FLOCK 1C 1 0903
 111,2023-06-17 21:58:36,2023-06-17 22:06:47,FLOCK 1C 1 0903
 111,2023-06-17 22:08:46,2023-06-17 22:12:24,FLOCK 1C 1 0903
 111,2023-06-17 22:31:53,2023-06-17 22:35:55,FLOCK 1C 1 0903
 111,2023-06-17 22:43:32,2023-06-17 22:47:10,FLOCK 1C 1 0903
 111,2023-06-17 23:42:58,2023-06-17 23:47:11,FLOCK 1C 1 0903
