Latitude,Longitude
37.3719,-79.8164
36.6681,-78.3889
29.4167,-98.5
47.233,-119.852
33.448376,-112.074036
-33.86,151.2094
1.283,103.833
53.3478,-6.2597
60.67488,17.14127
50.941,-0.799
52.3667,4.9
41.5908,-93.6208
-25.731340,28.218370
18.5822,73.9197
22.267,114.188
35.68,139.77
37.5665,126.9780
43.653,-79.383
46.3772,2.3730
50.110924,8.682127
59.913868,10.752245
47.451542,8.564572
25.266666,55.316666
-23.55,-46.633
36.6681,-78.3889
25.551462,51.439327
37.3719,-79.8164
41.8819,-87.6278
37.783,-122.417
22.470701,70.05773
41.5908,-93.6208
40.890,-110.234
-34.075691,18.843266
-35.3075,149.1244
-35.3075,149.1244
-37.8136,144.9631
34.6939,135.5022
21.146633,79.08886
35.1796,129.0756
12.9822,80.1636
19.088,72.868
46.817,-71.217
43.8345,2.1972
53.073635,8.806422
58.969975,5.733107
46.204391,6.143158
53.427,-3.084
24.466667,54.366669
-22.90278,-43.2075
